source,sink,source_kv,sink_kv,stability_limit,thermal_limit,line_capacity,max_kv,reactance_per_km,reactance_pu,susceptance
SirikitDam,Uttaradit,115,115,1413,422,422,115,0.3648,17.8752,739
Sirindhorn,BangYo,115,115,567,211,211,115,0.3648,22.2528,594
Sirindhorn,UbonRatchathani1,115,115,1215,422,422,115,0.3648,20.7936,636
Songkhla2,HatYai2,230,230,11079,844,844,230,0.3648,9.120000000000001,5800
SouthBangkokCC,SouthBangkok,230,230,27695,844,844,230,0.3648,3.648,14501
SouthBangkokCC,Theparak,230,230,12589,844,844,230,0.3648,8.0256,6591
SouthBangkok,SouthThonBuri,230,230,18884,1266,1266,230,0.3648,8.0256,6591
SouthThonBuri,BangkokNoi,230,230,18884,1266,1266,230,0.3648,8.0256,6591
SrinagarindDam,BanPong2,230,230,4674,1266,1266,230,0.3648,32.4672,1629
SrinagarindDam,Kanchanaburi2,230,230,1898,422,422,230,0.3648,26.6304,1986
SrinagarindDam,ThungNaDam,115,115,618,211,211,115,0.3648,20.428800000000003,647
SrirachaRefinery,SiRacha,115,115,2663,211,211,115,0.3648,4.7424,2788
Sukhothai,Phitsanulok2,115,115,1282,211,211,115,0.3648,9.8496,1342
Sukhothai,Sawankhalok,115,115,524,211,211,115,0.3648,24.076800000000002,549
SuratThani,BanDon,115,115,1822,422,422,115,0.3648,13.862400000000001,954
SuratThani,Phunphin,115,115,3147,422,422,115,0.3648,8.0256,1647
Surin2,Surin,115,115,1822,211,211,115,0.3648,6.9312000000000005,1908
Tak1,Kamphaengphet,115,115,558,211,211,115,0.3648,22.6176,584
Tak1,Sukhothai,115,115,558,211,211,115,0.3648,22.6176,584
Tak1,Tak2,115,115,961,211,211,115,0.3648,13.1328,1007
Tak2,NakhonSawan,230,230,1771,844,844,230,0.3648,57.2736,923
Takhli2,HuaWat,115,115,2233,422,422,115,0.3648,11.3088,1169
Takhli2,SingBuri,115,115,1236,211,211,115,0.3648,10.214400000000001,1294
TakuaPa,Pangnga2,115,115,706,211,211,115,0.3648,17.8752,739
TakuaPa,SuratThani,115,115,376,211,211,115,0.3648,33.5616,394
Thakhek,NakhonPhanom,115,115,6722,422,422,115,0.3648,3.7574400000000003,3519
Thakhek,NakhonPhanom2,230,230,9233,844,844,230,0.3648,10.944,4833
Thalan1,AngThong2,115,115,679,211,211,115,0.3648,18.6048,710
Thalath,PhoneSoung,115,115,2001,211,211,115,0.3648,6.31104,2095
Thanaleng,NongKhai,115,115,1384,211,211,115,0.3648,9.120000000000001,1450
ThaTako,AngThong1,230,230,1760,844,844,230,0.3648,57.638400000000004,917
ThaTako,AngThong2,230,230,2043,844,844,230,0.3648,49.6128,1066
ThaTako,BangMunNak,115,115,692,211,211,115,0.3648,18.240000000000002,725
ThaTako,Chaiyaphum1,230,230,1618,844,844,230,0.3648,62.7456,843
ThaTako,HuaWat,115,115,3462,422,422,115,0.3648,7.296,1812
